;CID;LAC;RNC;LAT;LON;POS-RAT;DESC;SYS;LABEL;AZI;HEIGHT;BW
26001;00000;21405;0;49.800833;19.016944;-1; Bielsko-Biała, ul. Karpacka 146 - kościół katolicki [SLK:BT20373:L1800];4;00000;-1;-1;-1
26001;00000;21405;0;49.826667;18.972500;-1; Bielsko-Biała, ul. Międzyrzecka 230 - maszt Plusa [SLK:BT24598:L1800];4;00000;-1;-1;-1
26001;00000;21025;0;50.400556;18.544167;-1; Bycina, maszt Plusa [SLK:BT24494:L1800];4;00000;-1;-1;-1
26001;00000;21001;0;50.320833;18.944722;-1; Bytom, ul. Chorzowska 86 - pylon reklamowy Tesco [SLK:BT24768:L1800];4;00000;-1;-1;-1
26001;00000;21021;0;50.347500;18.922500;-1; Bytom, ul. Ks. Karola Koziołka 3 - kościół [SLK:BT24830:L1800];4;00000;-1;-1;-1
26001;00000;21001;0;50.305556;18.974444;-1; Chorzów, ul. Bożogrobców 31 - wieża kościoła rzym.-kat. p.w. św. Józefa [SLK:BT22946:L1800];4;00000;-1;-1;-1
26001;00000;21001;0;50.305556;18.974444;-1; Chorzów, ul. Bożogrobców 31 - wieża kościoła rzym.-kat. p.w. św. Józefa [SLK:BT22946:L1800];4;00000;-1;-1;-1
26001;00000;21001;0;50.295556;18.952500;-1; Chorzów, ul. Powstańców 13 - Kościół ewangelicko-augsburski [SLK:BT22619:L1800];4;00000;-1;-1;-1
26001;00000;21405;0;50.004722;18.977500;-1; Jankowice, ul. Borowikowa - maszt Plusa [SLK:BT24305:L1800];4;00000;-1;-1;-1
26001;00000;21002;0;50.548611;18.952500;-1; Kalety, Miotek - maszt Plusa [SLK:BT24422:L1800];4;00000;-1;-1;-1
26001;00000;21001;0;50.259167;19.022222;-1; Katowice, Rynek 12 - D.H. Zenit [SLK:BT20859:L1800];4;00000;-1;-1;-1
26001;00000;21001;0;50.258333;19.045278;-1; Katowice, ul. 1. Maja 52 - kościół [SLK:BT20746:L1800];4;00000;-1;-1;-1
26001;00000;21001;0;50.295556;19.005556;-1; Siemianowice Śląskie, ul. Wróblewskiego 75 - wieża Emitel - SLR Bytków [SLK:BT22025:L1800];4;00000;-1;-1;-1
26001;00000;21001;0;50.223333;19.076111;-1; Katowice, ul. Kosmiczna 60 - KWK Wieczorek Szyb Rozdzień [SLK:BT24394:L1800];4;00000;-1;-1;-1
26001;00000;21001;0;50.212222;18.970833;-1; Katowice, ul. Kościuszki 289 - maszt na budynku PSP [SLK:BT22016:L1800];4;00000;-1;-1;-1
26001;00000;21405;0;50.005833;18.867222;-1; Kobielice, ul. Rolna 4 - maszt Plusa [SLK:BT22144:L1800];4;00000;-1;-1;-1
26001;00000;21017;0;50.637222;18.840556;-1; Koszęcin, ul. Powstańców Śląskich 15 - kościół [SLK:BT22490:L1800];4;00000;-1;-1;-1
26001;00000;21017;0;50.970556;18.725000;-1; Krzepice, ul. Kazimierza Wielkiego 1 - wieża kościoła [SLK:BT20106:L1800];4;00000;-1;-1;-1
26001;00000;21811;0;50.615556;19.257222;-1; Lgota Nadwarcie, Lgota Górna 56 - maszt [SLK:BT22585:L1800];4;00000;-1;-1;-1
26001;00000;21042;0;50.040000;18.307500;-1; Lubomia, ul. Pogrzebieńska 2 - wieża kościoła [SLK:BT24220:L900];4;00000;-1;-1;-1
26001;00000;21405;0;50.164167;18.856111;-1; Mikołów, ul. Fitelberga - maszt P4 [SLK:BT26965:L1800];4;00000;-1;-1;-1
26001;00000;21002;0;50.197778;19.148611;-1; Mysłowice, ul. Fabryczna 7 - wieża telekomunikacyjna [SLK:BT24149:L1800];4;00000;-1;-1;-1
26001;00000;21042;0;50.098333;18.713889;-1; Palowice, ul. Wiejska - maszt Plusa [SLK:BT24558:L1800];4;00000;-1;-1;-1
26001;00000;21405;0;49.977500;18.957222;-1; Pszczyna, ul. Górnośląska 11 - komin - teren Patentus [SLK:BT20571:L1800];4;00000;-1;-1;-1
26001;00000;21405;0;50.002778;18.937778;-1; Pszczyna, ul. Myśliwska 9 - maszt Plusa [SLK:BT24577:L1800];4;00000;-1;-1;-1
26001;00000;21042;0;49.988611;18.352500;-1; Rogów, ul. Raciborska 40 - wieża kościoła [SLK:BT24365:L900];4;00000;-1;-1;-1
26001;00000;21025;0;50.319444;18.856389;-1; Ruda Śląska, ul. Piastowska 16 - wieża kościoła p.w. Św. Jacka [SLK:BT20635:L1800];4;00000;-1;-1;-1
26001;00000;21025;0;50.286389;18.876111;-1; Ruda Śląska, ul. Niedurnego 38c - budynek mieszkalno-usługowy [SLK:BT20765:L1800];4;00000;-1;-1;-1
26001;00000;21002;0;50.380000;19.143056;-1; Sarnów, ul. Spacerowa - maszt Plusa [SLK:BT24153:L1800];4;00000;-1;-1;-1
26001;00000;21811;0;50.737500;19.582222;-1; Skrajniwa, maszt Plusa na wzniesieniu [SLK:BT24122:L900];4;00000;-1;-1;-1
