LAT;LON;DESC
49.800833;19.016944;Bielsko-Biaàa, ul. Karpacka 146 - koòci¢à katolicki [SLK:BT20373:L1800]
49.826667;18.972500;Bielsko-Biaàa, ul. Mi©dzyrzecka 230 - maszt Plusa [SLK:BT24598:L1800]
50.400556;18.544167;Bycina, maszt Plusa [SLK:BT24494:L1800]
50.320833;18.944722;Bytom, ul. Chorzowska 86 - pylon reklamowy Tesco [SLK:BT24768:L1800]
50.347500;18.922500;Bytom, ul. Ks. Karola Kozioàka 3 - koòci¢à [SLK:BT24830:L1800]
50.305556;18.974444;Chorz¢w, ul. Boæogrobc¢w 31 - wieæa koòcioàa rzym.-kat. p.w. òw. J¢zefa [SLK:BT22946:L1800]
50.305556;18.974444;Chorz¢w, ul. Boæogrobc¢w 31 - wieæa koòcioàa rzym.-kat. p.w. òw. J¢zefa [SLK:BT22946:L1800]
50.295556;18.952500;Chorz¢w, ul. Powsta‰c¢w 13 - Koòci¢à ewangelicko-augsburski [SLK:BT22619:L1800]
50.004722;18.977500;Jankowice, ul. Borowikowa - maszt Plusa [SLK:BT24305:L1800]
50.548611;18.952500;Kalety, Miotek - maszt Plusa [SLK:BT24422:L1800]
50.259167;19.022222;Katowice, Rynek 12 - D.H. Zenit [SLK:BT20859:L1800]
50.258333;19.045278;Katowice, ul. 1. Maja 52 - koòci¢à [SLK:BT20746:L1800]
50.295556;19.005556;Siemianowice ól•skie, ul. Wr¢blewskiego 75 - wieæa Emitel - SLR Bytk¢w [SLK:BT22025:L1800]
50.223333;19.076111;Katowice, ul. Kosmiczna 60 - KWK Wieczorek Szyb Rozdzie‰ [SLK:BT24394:L1800]
50.212222;18.970833;Katowice, ul. Koòciuszki 289 - maszt na budynku PSP [SLK:BT22016:L1800]
50.005833;18.867222;Kobielice, ul. Rolna 4 - maszt Plusa [SLK:BT22144:L1800]
50.637222;18.840556;Kosz©cin, ul. Powsta‰c¢w ól•skich 15 - koòci¢à [SLK:BT22490:L1800]
50.970556;18.725000;Krzepice, ul. Kazimierza Wielkiego 1 - wieæa koòcioàa [SLK:BT20106:L1800]
50.615556;19.257222;Lgota Nadwarcie, Lgota G¢rna 56 - maszt [SLK:BT22585:L1800]
50.040000;18.307500;Lubomia, ul. Pogrzebie‰ska 2 - wieæa koòcioàa [SLK:BT24220:L900]
50.164167;18.856111;Mikoà¢w, ul. Fitelberga - maszt P4 [SLK:BT26965:L1800]
